№,Номер разрешения на право организации розничного рынка на территории Санкт-Петербурга и дата его выдачи,Полное наименование юридического лица,"Сокращенное наименование юридического лица, в том числе фирменное наименование",Место нахождения юридического лица,ИНН,Тип рынка,"Место расположения объекта или объектов, где предполагается организовать розничный рынок на территории Санкт-Петербурга",Срок действия разрешения,Основание и срок приостановления и возобновления действия разрешения,Основание и дата аннулирования разрешения,Основание и дата продления срока действия разрешения,Основание и дата прекращения действия разрешения,Иные определенные органом государственной власти субъекта Российской Федерации сведения,"Количество капитальных зданий, строений, сооружений, используемых для организации деятельности по продаже товаров (выполнению работ, оказанию услуг)","Количество капитальных зданий, строений, сооружений, используемых для организации деятельности по продаже товаров",Количество торговых залов и площадь каждого зала (кв.м.),Общее количество торговых мест в соответствии со схемой размещения торговых мест на розничном рынке (для всех типов рынков),Количество торговых мест для осуществления деятельности по продаже товаров товаропроизводителями на сельскохозяйственных рынках,"Количество торговых мест для осуществления деятельности по продаже товаров товаропроизводителями, гражданами",Об утверждении паспорта безопасности розничного рынка,Режим работы розничного рынка
1,№ 1 от 28.06.2007,"Закрытое акционерное общество ""Полюстровский рынок потребительской кооперации""","ЗАО ""Полюстровский рынок""","Российская Федерация, 195197, Санкт-Петербург, Полюстровский пр., д. 45",7804015031,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Полюстровский         пр., д. 45",с 28.06.2007 по 27.06.2012;               с 28.06.2012 по 27.06.2017,,,распоряжение КЭРППиТ                от 25.06.2012          № 760-р.,,,1,0.0,"1  - 2500,0",253,123,0.0,30.07.2007,"с 8=00 до 20=00, без выходных, санитарный день: третий понедельник месяца"
2,№ 3 от 28.06.2007,"Общество с ограниченной ответственностью ""Приморский сельскохозяйственный рынок""","ООО ""Приморский сельскохозяйственный рынок""","Российская Федерация, 195197, Санкт-Петербург, Полюстровский пр., д. 45",7801122645,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Торжковская ул.,                              д. 20",с 28.06.2007 по  16.08.2011;               с 17.08.2011 по 16.08.2016,,,распоряжение КЭРППиТ                   от 15.08.2011          № 967-р.,,,1,1,"2 - 3000,0 и 1000,0",183,119,0.0,15.04.2010,"с 8=00 до 20=00, без выходных, санитарный день: первый понедельник месяца"
3,№ 6 от 28.06.2007,"Общество с ограниченной ответственностью ""Сытный рынок""","ООО ""Сытный рынок""","Российская Федерация, 197101, Санкт-Петербург, Сытнинская пл., д. 3/5",7813096573,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Сытнинская  ул., д. 5",с 28.06.2007 по  14.12.2009;               с 15.12.2009 по 24.12.2012;  с 24.12.2012 до 24.12.2016,,,распоряжения КЭРППиТ:                  от 07.12.2009          № 977-р;                   от 06.04.2011          № 351-р;                   от 20.12.2012           № 1855-р.,,,1,0.0,"1 - 2050,0",161,89,0.0,01.08.2009,"с 8=00 до 20=00, без выходных, санитарный день: последний понедельник месяца"
4,№ 8 от 28.06.2007,"Общество с ограниченной ответственностью ""Коммерческий Центр ""Питер""","ООО ""КЦ ""Питер""","Российская Федерация, 191023, Санкт-Петербург, Садовая ул., д. 28-30, корп. 8",7825346718,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Московский пр., д. 4а",с 28.06.2007 по  27.06.2012;               с 28.06.2012 по 27.06.2017,,,распоряжение КЭРППиТ                   от 25.06.2012         № 760-р.,,,6,323,"18: 1 - 1848,3 и 17 -общей площадью 972,0",593,375,0.0,30.07.2007,"с 8=00 до 20=00, без выходных, санитарный день: второй понедельник месяца"
5,№ 10 от 28.06.2007,"Потребительское общество ""Нарвский рынок""","ПО ""Нарвский рынок""","Российская Федерация, 198097, Санкт-Петербург, пр. Стачек, д. 54",7805033107,специализированный (сельскохозяйственная продукция)," Санкт-Петербург,                          пр. Стачек, д. 54",с 28.06.2007 по  29.09.2008;               с 30.09.2008 до 29.09.2013;              с 29.09.2013 до 29.09.2018,,,"распоряжения  КЭРППиТ:                  от 05.09.2008          № 786-р,                    от 12.09.2013                                  № 1784-р.",,,1,80,"2 по 750,0",230,117,0.0,01.08.2011,"с понедельника по субботу с 8=00 до 19=00, в воскресенье с 8=00 до 18=00,  санитарный день: последний понедельник месяца"
6,№ 11 от 28.06.2007,"Общество с ограниченной ответственностью ""Василеостровский  рынок""","ООО ""Василеостровский  рынок""","Российская Федерация, 199034, Санкт-Петербург, Большой пр. В.О., д. 16/14",7801240889,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Большой пр. В.О.,          д. 16/14, литера Б",с 28.06.2007 по  30.09.2007;               с 01.10.2007 до 14.12.2009;              с 14.12.2009 до 14.12.2014;   с 14.12.2014 до 14.12.2019,,,распоряжения  КЭРППиТ:                 от 23.08.2007          № 265-р;                        от 07.12.2009           № 980-р. распоряжение КРППР                           от 04.12.2014          № 5142-р.,,,1,19,"1 - 1457,1",255,205,0.0,27.08.2010,"с 8=00 до 19=00, без выходных, санитарный день: первый понедельник месяца"
7,№ 13 от 28.06.2007,"Общество с ограниченной ответственностью ""Царскосельский  рынок""","ООО ""Царскосельский  рынок""","Российская Федерация, 196600, Санкт-Петербург, г. Пушкин,  ул. Московская,  д. 25",7820017460,специализированный (сельскохозяйственная продукция)," Санкт-Петербург,                г. Пушкин,  Московская ул., д. 25",с 28.06.2007 по  12.10.2010;               с 13.10.2010 по 01.07.2015;  с 02.07.2015 по 02.10.2015;    с 03.10.2015 по 03.01.2016;      с 04.01.2016 по 04.04.2016;              с 05.04.2016 по 05.07.2016,,,распоряжение КЭРППиТ                  от 04.10.2010                 № 1313-р; распоряжения КРППР:                    от 30.06.2015                    № 2469-р;                              от 24.09.2015          № 3962-р;                    от 22.12.2015          № 5675-р;                  от 25.03.2016          № 1365-р.,,,2,106,"16 по 38,0",145,75,0.0,01.12.2007,"с 8=00 до 19=00, без выходных, санитарный день: второй понедельник месяца"
8,№ 15 от 28.06.2007,"Общество с ограниченной ответственностью ""Петродворцовое оптово-розничное объединение""","ООО ""Петродворцовое оптово-розничное объединение""","Российская Федерация, 198504, Санкт-Петербург, Петергоф,  ул. 1 Мая,  д. 89",7819019014,специализированный (сельскохозяйственная продукция)," Санкт-Петербург,                          г. Ломоносов,                     ул. Рубакина, д. 16",с 28.06.2007 по  27.06.2012;               с 28.06.2012 по 27.06.2017,,,распоряжение КЭРППиТ от 25.06.2012 № 760-р.,,,2,15,"11: 976,6; 20,6; 14,5; 8,5; 7,2; 38,0; 29,0; 19,5; 24,0; 21,0; 32,0",121,82,0.0,27.07.2007,"с 8=00 до 19=00, без выходных, санитарный день: последний понедельник месяца"
9,№ 16 от 28.06.2007,"Закрытое акционерное общество ""Агропартнер""","ЗАО ""Агропартнер""","Российская Федерация, 188710, Ленинградская область,       г. Всеволожск, Колтушское ш., д. 138",4703035195,специализированный (сельскохозяйственная продукция),"Санкт-Петербург,       пр. Обуховской Обороны, д. 75а",с 28.06.2007 по  14.04.2009;               с 15.04.2009 до 24.11.2011;              с 27.11.2011 до 01.07.2015;  с 01.07.2015 до 27.11.2018,,,"распоряжения КЭРППиТ:                    от 13.04.2009          № 258-р,                  от 17.11.2011          № 1386-р. распоряжение КРППР                    от 30.06.2015                    № 2469-р.",,,4,10,"2 - 997,9 и 765,4",203,104,0.0,25.07.2007,"с 8=00 до 20=00, без выходных, санитарный день: первый вторник месяца"
10,№ 17 от 28.06.2007,"Общество с ограниченной ответственностью ""Красное""","ООО ""Красное""","Российская Федерация, 198320, Санкт-Петербург, пр. Ленина,       д. 92, корп. 2",7807014580,Универсальный," Санкт-Петербург,      г. Красное Село,          ул. Массальского,          д. 4",с 28.06.2007 по  28.06.2008;               с 29.06.2008 по 28.06.2013;              с 29.06.2013 по 28.06.2018; ,,,"распоряжения КЭРППиТ                    от 16.04.2008          № 504-р,                    от 14.06.2013          № 594-р.",,,1,0.0,"7: 1513,6; 1475,9; 1147,9; 201,4; 200,0; 69,3; 62,0",192,0.0,9,15.06.2014,"с 9=00 до 20=00, без выходных, санитарный день: второй понедельник месяца"
11,№ 19 от 28.06.2007,"Общество с ограниченной ответственностью ""Кузнечный рынок""","ООО ""Кузнечный рынок""","Российская Федерация, 191002, Санкт-Петербург, Кузнечный пер.,  д. 3",7825413347,специализированный (сельскохозяйственная продукция)," Санкт-Петербург, Кузнечный пер., д. 3",с 28.06.2007 по 27.06.2012;               с 28.06.2012 по 14.12.2016,,,распоряжение КЭРППиТ                    от 25.06.2012          № 760-р.,,,1,0.0,"1 - 2900,0",450,400,0.0,27.12.2007,"с 8=00 до 20=00, без выходных, санитарный день:  первый понедельник каждого месяца"
12,№ 20 от 28.06.2007,"Общество с ограниченной ответственностью ""Московский рынок""","ООО ""Московский рынок""","Российская Федерация, 196105, Санкт-Петербург,       ул. Решетникова,  д. 12",7810276183,специализированный (сельскохозяйственная продукция)," Санкт-Петербург,      ул. Решетникова,          д. 12",с 28.06.2007 по  27.10.2007;               с 26.10.2007 до 14.12.2009;              с 14.12.2009 до 14.12.2014;   с 14.12.2014 по 01.07.2015;       с 02.07.2015 до 14.12.2016,,,"распоряжения  КЭРППиТ                    от 27.06.2007         № 387-р,                   от 07.12.2009           № 972-р; распоряжения КРППР:                           от 04.12.2014          № 5142-р;                    от 30.06.2015                  № 2469-р.",,,4,1,"5: 1641,2; 292,9; 29,7; 151,0; 187,0",78,62,0.0,24.12.2007,"с 9=00 до 20=00, без выходных, санитарный день: первый вторник месяца"
13,№ 22 от 16.07.2007,"Закрытое акционерное общество ""Рынок ""ПРАВОБЕРЕЖНЫЙ""","ЗАО ""Рынок ""ПРАВОБЕРЕЖНЫЙ""","Российская Федерация, 193168, Санкт-Петербург, ул.Дыбенко,  д. 16",7811000886,специализированный (сельскохозяйственная продукция)," Санкт-Петербург,       ул. Дыбенко, д. 16",с 16.07.2007 по  25.05.2009;               с 26.05.2009 до 27.11.2011;              с 27.11.2011 до 27.11.2016;  ,,,"распоряжения КЭРППиТ                   от 22.05.2009          № 347-р,                    от 22.11.2011          № 1404-р.",,,1,2,"6: 1608,5; 190,7; 192,8; 429,8; 389,2; 425,1",444,230,0.0,12.04.2012,"с 9=00 до 22=00,  выходные дни: 1 и 2 января, санитарный день: 1 раз в месяц"
14,№ 25 от 17.03.2011,"Закрытое акционерное общество ""Аврора Инвест""","ЗАО ""Аврора Инвест""","Российская Федерация, 191014, Санкт-Петербург,       ул. Некрасова,  д. 52, лит. Б",7726524952,специализированный (сельскохозяйственная продукция),"Санкт-Петербург,                                     ул. Некрасова, д. 52, литера А, Б",с 17.03.2011 до  01.07.2015;      с 01.07.2015 по 01.10.2015;  02.10.2015 по 02.01.2016;  с 03.01.2016 по 03.04.2016;       с 04.04.2016 по 04.07.2016        ,,,"распоряжения КЭРППиТ                    от 22.05.2009          № 347-р,                    от 22.11.2011          № 1404-р; распоряжения КРППР:                    от 30.06.2015          № 2469-р;                      от 24.09.2015          № 3962-р;                    от 22.12.2015          № 5675-р;                  от 25.03.2016         №  1365-р.",,,2,0.0,"1 - 1224,0",124,64,0.0,27.05.2014,"с понедельника по субботу с 9=00 до 20=00,  в воскресенье с 9=00 до 19=00, санитарный день: последнее воскрееснье месяца с 18 часов"
15,№ 27  от 06.03.2012,"Санкт-Петербургское государственное бюджетное учреждение ""Центр контроля качества (продукции), работ и услуг""","СПб ГБУ ""ЦККТРУ""","Российская Федерация, 191124, Санкт-Петербург, Суворовский пр.,  д. 65, литера БА",7813046124,универсальный," Санкт-Петербург, Хасанская ул., д. 15",с 06.03.2012 до 06.03.2017,,,,,,1,0.0,"5: 5000,0; 3401,5; 2000,0; 724,5; 408,0",670,0.0,121,06.03.2012,"с 9=00 до 20=00, без выходных, санитарный день: третий понедельник месяца"
16,№ 28  от 30.03.2012,"Санкт-Петербургское государственное бюджетное учреждение ""Центр контроля качества (продукции), работ и услуг""","СПб ГБУ ""ЦККТРУ""","Российская Федерация, 191124, Санкт-Петербург, Суворовский пр.,  д. 65, литера БА",7813046124,специализированный (непродовольственные товары)," Санкт-Петербург,       ул. Руставели, д. 45",с 30.03.2012 по 03.02.2014;       с 04.02.2014 до 04.02.2019,,,распоряжение КРППР                    от 22.01.20014          № 167-р.,,,2,0.0,"5: 4 по 468,1; 1- 1229,0 ",364,0.0,0.0,06.02.2009,"с 10=00 до 21=00, без выходных, санитарный день: по мере необходимостьи"
17,№ 29  от 26.02.2013,"Общество с ограниченной ответственностью ""Петербургский Рынок Совремиенного Типа""","ООО ""ПеРСТ""","Российская Федерация, 197374, Санкт-Петербург, Торфяная дорога,  д. 2, корп. 1",7814539010,специализированный (сельскохозяйственная продукция),"Торфяная дорога,       д. 2, корп. 1, литера А, пом. 1Н",с 20.12.2013 по 19.11.2014;       с 20.11.2014 по 31.10.2015   c 01.11.2015 по 30.09.2016,,,"распоряжения КРППР:                    от 11.12.20013             № 3283-р,                     от 19.11.2014                  № 4879-р;                  от 27.10.2015          № 4650-р.",,,1,8,"1 -2000,0",117,60,0.0,26.05.2013,"с 9=00 до 21=00, без выходных, санитарный день: 1 раз в месяц"
